aws
aws,deploy
aws,deploy,add-tags-to-on-premises-instances
aws,deploy,batch-get-application-revisions
aws,deploy,batch-get-applications
aws,deploy,batch-get-deployment-groups
aws,deploy,batch-get-deployment-instances
aws,deploy,batch-get-deployments
aws,deploy,batch-get-on-premises-instances
aws,deploy,create-application
aws,deploy,create-deployment
aws,deploy,create-deployment-config
aws,deploy,create-deployment-group
aws,deploy,delete-application
aws,deploy,delete-deployment-config
aws,deploy,delete-deployment-group
aws,deploy,deregister
aws,deploy,deregister-on-premises-instance
aws,deploy,get-application
aws,deploy,get-application-revision
aws,deploy,get-deployment
aws,deploy,get-deployment-config
aws,deploy,get-deployment-group
aws,deploy,get-deployment-instance
aws,deploy,get-on-premises-instance
aws,deploy,install
aws,deploy,list-application-revisions
aws,deploy,list-applications
aws,deploy,list-deployment-configs
aws,deploy,list-deployment-groups
aws,deploy,list-deployment-instances
aws,deploy,list-deployments
aws,deploy,list-on-premises-instances
aws,deploy,push
aws,deploy,register
aws,deploy,register-application-revision
aws,deploy,register-on-premises-instance
aws,deploy,remove-tags-from-on-premises-instances
aws,deploy,stop-deployment
aws,deploy,uninstall
aws,deploy,update-application
aws,deploy,update-deployment-group
aws,devicefarm
aws,devicefarm,create-device-pool
aws,devicefarm,create-project
aws,devicefarm,create-upload
aws,devicefarm,delete-device-pool
aws,devicefarm,delete-project
aws,devicefarm,delete-run
aws,devicefarm,delete-upload
aws,devicefarm,get-account-settings
aws,devicefarm,get-device
aws,devicefarm,get-device-pool
aws,devicefarm,get-device-pool-compatibility
aws,devicefarm,get-job
aws,devicefarm,get-offering-status
aws,devicefarm,get-project
aws,devicefarm,get-run
aws,devicefarm,get-suite
aws,devicefarm,get-test
aws,devicefarm,get-upload
aws,devicefarm,list-artifacts
aws,devicefarm,list-device-pools
aws,devicefarm,list-devices
aws,devicefarm,list-jobs
aws,devicefarm,list-offering-transactions
aws,devicefarm,list-offerings
aws,devicefarm,list-projects
aws,devicefarm,list-runs
aws,devicefarm,list-samples
aws,devicefarm,list-suites
aws,devicefarm,list-tests
aws,devicefarm,list-unique-problems
aws,devicefarm,list-uploads
aws,devicefarm,purchase-offering
aws,devicefarm,renew-offering
aws,devicefarm,schedule-run
aws,devicefarm,stop-run
aws,devicefarm,update-device-pool
aws,devicefarm,update-project
aws,directconnect
aws,directconnect,allocate-connection-on-interconnect
aws,directconnect,allocate-private-virtual-interface
aws,directconnect,allocate-public-virtual-interface
aws,directconnect,confirm-connection
aws,directconnect,confirm-private-virtual-interface
aws,directconnect,confirm-public-virtual-interface
aws,directconnect,create-connection
aws,directconnect,create-interconnect
aws,directconnect,create-private-virtual-interface
aws,directconnect,create-public-virtual-interface
aws,directconnect,delete-connection
aws,directconnect,delete-interconnect
aws,directconnect,delete-virtual-interface
aws,directconnect,describe-connections
aws,directconnect,describe-connections-on-interconnect
aws,directconnect,describe-interconnects
aws,directconnect,describe-locations
aws,directconnect,describe-virtual-gateways
aws,directconnect,describe-virtual-interfaces
aws,discovery
aws,discovery,create-tags
aws,discovery,delete-tags
aws,discovery,describe-agents
aws,discovery,describe-configurations
aws,discovery,describe-export-configurations
aws,discovery,describe-tags
aws,discovery,export-configurations
aws,discovery,list-configurations
aws,discovery,start-data-collection-by-agent-ids
aws,discovery,stop-data-collection-by-agent-ids
aws,dms
aws,dms,add-tags-to-resource
aws,dms,create-endpoint
aws,dms,create-replication-instance
aws,dms,create-replication-subnet-group
aws,dms,create-replication-task
aws,dms,delete-endpoint
aws,dms,delete-replication-instance
aws,dms,delete-replication-subnet-group
aws,dms,delete-replication-task
aws,dms,describe-account-attributes
aws,dms,describe-connections
aws,dms,describe-endpoint-types
aws,dms,describe-endpoints
aws,dms,describe-orderable-replication-instances
aws,dms,describe-refresh-schemas-status
aws,dms,describe-replication-instances
aws,dms,describe-replication-subnet-groups
aws,dms,describe-replication-tasks
aws,dms,describe-schemas
aws,dms,describe-table-statistics
aws,dms,list-tags-for-resource
aws,dms,modify-endpoint
aws,dms,modify-replication-instance
aws,dms,modify-replication-subnet-group
aws,dms,refresh-schemas
aws,dms,remove-tags-from-resource
aws,dms,start-replication-task
aws,dms,stop-replication-task
aws,dms,test-connection
aws,ds
aws,ds,connect-directory
aws,ds,create-alias
aws,ds,create-computer
aws,ds,create-conditional-forwarder
aws,ds,create-directory
aws,ds,create-microsoft-ad
aws,ds,create-snapshot
aws,ds,create-trust
aws,ds,delete-conditional-forwarder
aws,ds,delete-directory
aws,ds,delete-snapshot
aws,ds,delete-trust
aws,ds,deregister-event-topic
aws,ds,describe-conditional-forwarders
aws,ds,describe-directories
aws,ds,describe-event-topics
aws,ds,describe-snapshots
aws,ds,describe-trusts
aws,ds,disable-radius
aws,ds,disable-sso
aws,ds,enable-radius
aws,ds,enable-sso
aws,ds,get-directory-limits
aws,ds,get-snapshot-limits
aws,ds,register-event-topic
aws,ds,restore-from-snapshot
aws,ds,update-conditional-forwarder
aws,ds,update-radius
aws,ds,verify-trust
aws,dynamodb
aws,dynamodb,batch-get-item
aws,dynamodb,batch-write-item
aws,dynamodb,create-table
aws,dynamodb,delete-item
aws,dynamodb,delete-table
aws,dynamodb,describe-limits
aws,dynamodb,describe-table
aws,dynamodb,get-item
aws,dynamodb,list-tables
aws,dynamodb,put-item
aws,dynamodb,query
aws,dynamodb,scan
aws,dynamodb,update-item
aws,dynamodb,update-table
aws,dynamodb,wait
aws,dynamodb,wait,table-exists
aws,dynamodb,wait,table-not-exists
aws,dynamodbstreams
aws,dynamodbstreams,describe-stream
aws,dynamodbstreams,get-records
aws,dynamodbstreams,get-shard-iterator
aws,dynamodbstreams,list-streams
aws,ec2
aws,ec2,accept-vpc-peering-connection
aws,ec2,allocate-address
aws,ec2,allocate-hosts
aws,ec2,assign-private-ip-addresses
aws,ec2,associate-address
aws,ec2,associate-dhcp-options
aws,ec2,associate-route-table
aws,ec2,attach-classic-link-vpc
aws,ec2,attach-internet-gateway
aws,ec2,attach-network-interface
aws,ec2,attach-volume
aws,ec2,attach-vpn-gateway
aws,ec2,authorize-security-group-egress
aws,ec2,authorize-security-group-ingress
aws,ec2,bundle-instance
aws,ec2,cancel-bundle-task
aws,ec2,cancel-conversion-task
aws,ec2,cancel-export-task
aws,ec2,cancel-import-task
aws,ec2,cancel-reserved-instances-listing
aws,ec2,cancel-spot-fleet-requests
aws,ec2,cancel-spot-instance-requests
aws,ec2,confirm-product-instance
aws,ec2,copy-image
aws,ec2,copy-snapshot
aws,ec2,create-customer-gateway
aws,ec2,create-dhcp-options
aws,ec2,create-flow-logs
aws,ec2,create-image
aws,ec2,create-instance-export-task
aws,ec2,create-internet-gateway
aws,ec2,create-key-pair
aws,ec2,create-nat-gateway
aws,ec2,create-network-acl
aws,ec2,create-network-acl-entry
aws,ec2,create-network-interface
aws,ec2,create-placement-group
aws,ec2,create-reserved-instances-listing
aws,ec2,create-route
aws,ec2,create-route-table
aws,ec2,create-security-group
aws,ec2,create-snapshot
aws,ec2,create-spot-datafeed-subscription
aws,ec2,create-subnet
aws,ec2,create-tags
aws,ec2,create-volume
aws,ec2,create-vpc
aws,ec2,create-vpc-endpoint
aws,ec2,create-vpc-peering-connection
aws,ec2,create-vpn-connection
aws,ec2,create-vpn-connection-route
aws,ec2,create-vpn-gateway
aws,ec2,delete-customer-gateway
aws,ec2,delete-dhcp-options
aws,ec2,delete-flow-logs
aws,ec2,delete-internet-gateway
aws,ec2,delete-key-pair
aws,ec2,delete-nat-gateway
aws,ec2,delete-network-acl
aws,ec2,delete-network-acl-entry
aws,ec2,delete-network-interface
aws,ec2,delete-placement-group
